,character,kun,meaning,on
707,剤,None,Dose,ざい
708,堀,ほり,Ditch,くつ
709,薄,うす,Dilute,はく
710,兼,か,Concurrently,けん
711,戒,いまし,Commandment,かい
712,衝,つ,Collide,しょう
713,唱,とな,Chant,しょう
714,吹,ふ,Blow,すい
715,敏,None,Alert,びん
716,祉,None,Welfare,し
717,壁,かべ,Wall,へき
718,甲,か,Turtle Shell,こう  かん
719,鋼,はがね,Steel,こう
720,奪,うば,Rob,だつ
721,稲,いね  いな,Rice Plant,None
722,拒,こば,Refuse,きょ
723,勧,すす,Recommend,かん
724,圏,None,Range,けん
725,隆,None,Prosperity,りゅう
726,斐,None,Patterned,い
727,項,None,Paragraph,こう
728,片,かた,One Sided,へん
729,阜,None,Mound,ふ
730,謙,None,Modesty,けん
731,躍,おど,Leap,やく
732,慎,つつし,Humility,しん
733,御,お,Honorable,ご
734,邦,くに,Home Country,ほう
735,仙,None,Hermit,せん
736,銃,None,Gun,じゅう
737,枠,わく,Frame,None
738,群,む  むら,Flock,ぐん
739,免,まぬか,Excuse,めん
740,雇,やと,Employ,こ
741,譲,ゆず,Defer,じょう
742,棋,ご,Chess Piece,き
743,埼,さい,Cape,き
744,鈴,すず,Buzzer,りん
745,埋,う,Bury,まい
746,岐,None,Branch Off,き  ぎ
747,渋,しぶ,Bitter,じゅう
748,充,あ  み,Allocate,じゅう
749,控,ひか,Abstain,こう
750,盤,None,Tray,ばん
751,緒,お,Together,しょ
752,称,とな  たた  ほめ,Title,しょう
753,懸,か,Suspend,けん
754,抑,おさ,Suppress,よく
755,繰,く,Spin,そう
756,還,かえ,Send Back,かん
757,択,えら,Select,たく
758,贈,おく,Presents,ぞう
759,娠,None,Pregnant,しん
760,妊,None,Pregnant,にん
761,奏,かな,Play Music,そう
762,緩,ゆる,Loose,かん
763,傾,かたむ,Lean,けい
764,膝,ひざ,Knee,None
765,併,あわ,Join,へい
766,奥,おく,Interior,おう
767,扱,あつか,Handle,きゅう
768,逃,に  のが  の,Escape,とう
769,刊,None,Edition,かん
770,描,か  えが,Draw,びょう
771,避,さ  よ,Dodge,ひ
772,致,いた,Do,ち
773,需,None,Demand,じゅ
774,却,かえって,Contrary,きゃく
775,託,かこ,Consign,たく
776,慮,おもんぱく  おもんぱか,Consider,りょ
777,房,ふさ,Cluster,ぼう
778,賂,None,Bribe,ろ
779,賄,まかな,Bribe,わい
780,宜,よろ,Best Regards,ぎ
781,齢,よわい,Age,れい
782,伴,ともな,Accompany,はん
783,削,けず,Whittle Down,さく
784,跡,あと,Traces,せき
785,執,と,Tenacious,しゅう  しつ
786,闘,たたか,Struggle,とう
787,串,くし,Skewer,None
788,昭,None,Shining,しょう
789,戻,もど,Return,れい
790,抵,None,Resist,てい
791,償,つぐな,Reparation,しょう
792,募,つの,Recruit,ぼ
793,刑,None,Punish,けい
794,契,None,Pledge,けい
795,兆,きざ,Omen,ちょう
796,臨,のぞ,Look To,りん
797,聴,き,Listen,ちょう
798,旬,None,In Season,しゅん  じゅん
799,抱,だ  かか  いだ,Hug,ほう
800,跳,と  は,Hop,ちょう
801,湾,None,Gulf,わん
802,香,かお  か,Fragrance,こう  きょう
803,漁,あさ,Fishing,ぎょ  りょう
804,恵,めぐ,Favor,え  けい
805,眉,まゆ,Eyebrows,み
806,爆,は,Explode,ばく
807,掲,かか,Display,けい
808,遣,つか  や,Dispatch,けん
809,崩,くず,Crumble,ほう
810,抗,あらが,Confront,こう
811,葬,ほうむ,Burial,そう
812,弾,ひ  はず  たま,Bullet,だん
813,塁,None,Base,るい
814,陣,None,Army Base,じん
815,狙,ねら,Aim,そ
816,患,わずら,Afflicted,かん
817,幅,はば,Width,ふく
818,超,こ,Ultra,ちょう
819,頼,たの  たよ,Trust,らい
820,貿,None,Trade,ぼう
821,甘,あま,Sweet,かん
822,姓,None,Surname,せい  しょう
823,伸,の,Stretch,しん
824,踏,ふ,Step,とう
825,縄,なわ,Rope,じょう
826,依,よ,Reliant,い
827,及,およ,Reach,きゅう
828,摘,つ,Pluck,てき
829,沖,おき,Open Sea,ちゅう
830,献,たてまつ,Offer,けん  こん
831,廃,すた,Obsolete,はい
832,核,None,Nucleus,かく
833,奈,None,Nara,な
834,維,None,Maintain,い
835,遺,のこ,Leave Behind,い
836,継,つ,Inherit,けい
837,療,None,Heal,りょう
838,津,つ,Haven,しん
839,般,None,Generally,はん
840,旧,None,Former,きゅう
841,牙,きば,Fang,げ  が
842,換,か,Exchange,かん
843,鹿,か  しか,Deer,ろく
844,伎,わざ,Deed,き
845,債,None,Debt,さい
846,舞,まい  ま,Dance,ぶ
847,将,None,Commander,しょう
848,盟,None,Alliance,めい
849,諾,None,Agreement,だく
850,酢,す,Vinegar,さく
851,厄,None,Unlucky,やく
852,亀,かめ,Turtle,き
853,破,やぶ,Tear,は
854,剣,つるぎ,Sword,けん
855,滞,とどこお,Stagnate,たい
856,醤,None,Soy Sauce,しょう
857,汁,しる,Soup,じゅう
858,遅,おそ  おく,Slow,ち
859,恥,は  はじ,Shame,ち
860,為,ため  な  す,Sake,い
861,獄,None,Prison,ごく
862,鍋,なべ,Pot,か
863,払,はら,Pay,ふつ
864,己,おのれ,Oneself,こ  き
865,油,あぶら,Oil,ゆ
866,互,たが,Mutual,ご
867,測,はか,Measure,そく
868,寿,ことぶき,Lifespan,じゅ  す
869,講,None,Lecture,こう
870,湖,みずうみ,Lake,こ
871,介,None,Jammed In,かい
872,紹,None,Introduce,しょう
873,彼,かれ  かの,He,ひ
874,炎,ほのお,Flame,えん
875,酔,よ,Drunk,すい
876,舎,None,Cottage,しゃ
877,銅,あかがね,Copper,どう
878,杉,すぎ,Cedar,None
879,彫,ほ,Carve,ちょう
880,噌,None,Boisterous,そ
881,熊,くま,Bear,None
882,拝,おが,Worship,はい
883,勤,つと,Work,きん
884,縦,たて,Vertical,じゅう
885,貴,とうと,Valuable,き
886,吐,は  つ,Throw Up,と
887,痩,や,Thin,そう
888,粋,いき,Stylish,すい
889,隷,None,Slave,れい
890,縮,ちぢ  ちじ,Shrink,しゅく
891,射,い  さ  う,Shoot,しゃ
892,沿,そ,Run Alongside,えん
893,腐,くさ,Rot,ふ
894,丼,どんぶり,Rice Bowl,どん
895,薦,すす,Recommend,せん
896,純,None,Pure,じゅん
897,芋,いも,Potato,None
898,源,みなもと,Origin,げん
899,誤,あやま,Mistake,ご
900,磁,None,Magnet,じ
901,損,そこ,Loss,そん
902,臓,None,Internal Organs,ぞう
903,推,お,Infer,すい
904,聖,None,Holy,せい
905,奴,やつ,Dude,ど
906,降,お  ふ,Descend,こう
907,歓,None,Delight,かん
908,紅,べに  くれない,Deep Red,こう
909,幕,とばり,Curtain,まく  ばく
910,承,うけたまわ,Consent,しょう
911,爪,つま  つめ,Claw,そう
912,刻,きざ,Carve,こく
913,揮,None,Brandish,き
914,枝,えだ,Branch,し
915,豆,まめ,Beans,とう
916,窓,まど,Window,そう
917,諸,もろ,Various,しょ
918,納,おさ  なっ,Supply,のう
919,糖,None,Sugar,とう
920,蔵,くら,Storehouse,ぞう
921,蒸,む,Steam,じょう
922,簡,None,Simplicity,かん
923,砂,すな,Sand,さ
924,噂,うわさ,Rumor,そん
925,熟,う,Ripen,じゅく
926,尊,とうと  たっと,Revered,そん
927,敬,うやま,Respect,けい
928,賃,None,Rent,ちん
929,宣,のたま,Proclaim,せん
930,盛,も  さか,Pile,せい  じょう
931,否,いな  いや,No,ひ
932,筋,すじ,Muscle,きん
933,操,あやつ  みさお,Manipulate,そう
934,誌,None,Magazine,し
935,肺,None,Lung,はい
936,忠,None,Loyalty,ちゅう
937,暮,く,Livelihood,ぼ
938,拡,ひろ,Extend,かく
939,皇,None,Emperor,こう
940,異,こと,Differ,い
941,漠,None,Desert,ばく
942,垂,た,Dangle,すい
943,閉,し  と,Closed,へい
944,裏,うら,Backside,り
945,著,いちじる  あらわ,Author,ちょ
946,装,よそお,Attire,そう  しょう
947,灰,はい,Ashes,かい
948,傷,きず  いた,Wound,しょう
949,迎,むか,Welcome,げい
950,暖,あたた,Warm,だん
951,欲,ほ,Want,よく
952,訳,わけ,Translation,やく
953,捨,す,Throw Away,しゃ
954,厳,きび  おごそ,Strict,げん  ごん
955,秘,ひ,Secret,ひ
956,密,ひそ,Secrecy,みつ
957,桜,さくら,Sakura,おう  よう
958,雑,None,Random,ざつ  ぞう
959,序,つい  ついで,Preface,じょ
960,党,None,Party,とう
961,久,ひさ,Long Time,きゅう  く
962,恩,None,Kindness,おん
963,興,None,Interest,きょう  こう
964,志,こころざし,Intention,し
965,採,と,Gather,さい
966,液,None,Fluid,えき
967,眼,め,Eyeball,がん
968,績,None,Exploits,せき
969,永,None,Eternity,えい
970,卵,たまご,Egg,らん
971,染,しみ  そ  し,Dye,せん
972,複,None,Duplicate,ふく
973,飼,か,Domesticate,し
974,汚,よご  きたな  けが,Dirty,お
975,机,つくえ,Desk,き
976,衛,None,Defense,えい
977,込,こ,Crowded,None
978,銭,ぜに,Coin,せん
979,祖,None,Ancestor,そ
980,賛,None,Agree,さん
981,酸,す,Acid,さん
982,倉,くら,Warehouse,そう
983,徳,None,Virtue,とく
984,脈,None,Vein,みゃく
985,菜,な,Vegetable,さい
986,掃,は,Sweep,そう
987,驚,おどろ,Surprised,きょう
988,偵,None,Spy,てい
989,嘆,なげ,Sigh,たん
990,華,はな,Showy,か
991,散,ち,Scatter,さん
992,富,と  とみ,Rich,ふ
993,似,に,Resemble,ね  じ
994,救,すく,Rescue,きゅう
995,既,すで,Previously,き
996,粉,こな  こ,Powder,ふん
997,棒,None,Pole,ぼう
998,普,None,Normal,ふ
999,巣,す,Nest,そう
1000,泥,どろ,Mud,でい
1001,鑑,None,Model,かん
1002,豪,None,Luxurious,ごう
1003,探,さが  さぐ,Look For,たん
1004,陸,None,Land,りく
1005,編,あ,Knit,へん
1006,尋,たず  ひろ,Inquire,じん
1007,幾,いく,How Many,き
1008,墓,はか,Grave,ぼ
1009,孫,まご,Grandchild,そん
1010,貨,None,Freight,か
1011,除,のぞ,Exclude,じょ  じ
1012,均,ひと,Equal,きん
1013,融,None,Dissolve,ゆう
1014,径,None,Diameter,けい
1015,離,はな,Detach,り
1016,廊,None,Corridor,ろう
1017,帯,おび,Belt,たい
1018,搬,None,Transport,はん
1019,墳,None,Tomb,ふん
1020,峰,みね,Summit,ほう
1021,奮,ふる,Stirred Up,ふん
1022,軌,None,Rut,き
1023,壮,None,Robust,そう
1024,訂,None,Revise,てい
1025,亭,None,Restaurant,てい
1026,簿,None,Record Book,ぼ
1027,漫,None,Manga,まん
1028,仰,あお,Look Up To,ぎょう  こう
1029,銘,None,Inscription,めい
1030,涯,はて,Horizon,がい
1031,鬱,None,Gloom,うつ
1032,翻,ひるがえ,Flip,ほん
1033,疫,None,Epidemic,えき
1034,后,きさき,Empress,こう  ご
1035,堤,つつみ,Embankment,てい
1036,淀,よど,Eddy,None
1037,漂,ただよ,Drift,ひょう
1038,堰,せき,Dam,えん
1039,晶,None,Crystal,しょう
1040,蟹,かに,Crab,None
1041,廷,None,Courts,てい
1042,諮,はか,Consult,し
1043,彰,None,Clear,しょう
1044,唐,None,China,とう
1045,伯,None,Chief,はく  お
1046,洞,ほら,Cave,どう
1047,駄,None,Burdensome,だ  た
1048,把,None,Bundle,は  わ
1049,鰐,わに,Alligator,None
1050,巧,うま  たく,Adept,こう
1051,偶,たま,Accidentally,ぐう
1052,潤,うるお  うる,Watered,じゅん
1053,俗,None,Vulgar,ぞく
1054,誓,ちか,Vow,せい
1055,征,None,Subjugate,せい
1056,剛,None,Sturdy,ごう
1057,唯,ただ,Solely,ゆい
1058,紫,むらさき,Purple,し
1059,刈,か,Prune,None
1060,妃,None,Princess,ひ
1061,陶,None,Pottery,とう
1062,壇,None,Podium,だん
1063,抽,None,Pluck,ちゅう
1064,珠,たま,Pearl,しゅ
1065,尼,あま,Nun,に
1066,桑,くわ,Mulberry,そう
1067,隔,へだ,Isolate,かく
1068,勘,None,Intuition,かん
1069,劣,おと,Inferiority,れつ
1070,浸,ひた,Immersed,しん
1071,陛,None,Highness,へい
1072,礎,いしずえ,Foundation,そ
1073,淡,あわ,Faint,たん
1074,奨,None,Encourage,しょう
1075,衰,おとろ,Decline,すい
1076,拓,None,Cultivation,たく
1077,鶴,つる,Crane,かく
1078,謀,はか,Conspire,ぼう
1079,慌,あわ,Confused,こう
1080,悟,さと,Comprehension,ご
1081,駒,こま,Chess Piece,く
1082,覆,おお  くつがえ,Capsize,ふく
1083,煮,に,Boil,しゃ
1084,拘,かか,Arrest,こう
1085,概,おおむ,Approximation,がい
1086,脅,おど  おびや,Threaten,きょう
1087,迅,None,Swift,じん
1088,餓,う,Starve,が
1089,飢,う,Starve,き
1090,班,None,Squad,はん
1091,蛇,へび,Snake,じゃ
1092,盾,たて,Shield,じゅん
1093,耐,た,Resistant,たい
1094,悔,くや  く,Regret,かい
1095,憶,None,Recollection,おく
1096,輝,かがや,Radiance,き
1097,貼,は,Paste,ちょう
1098,塗,ぬ,Paint,と
1099,帳,とばり,Notebook,ちょう
1100,蚊,か,Mosquito,None
1101,溶,と,Melt,よう
1102,畜,None,Livestock,ちく
1103,灯,あかり  とも,Lamp,とう
1104,辱,はずかし,Humiliate,じょく
1105,騎,None,Horse,き
1106,麻,あさ,Hemp,ま
1107,穫,None,Harvest,かく
1108,霜,しも,Frost,None
1109,尽,つ,Exhaust,じん
1110,斜,なな,Diagonal,しゃ
1111,闇,やみ,Darkness,あん  おん
1112,踊,おど,Dance,よう
1113,培,つちか,Cultivate,ばい
1114,隙,すき,Crevice,げき
1115,彩,いろど,Coloring,さい
1116,賢,かしこ,Clever,けん
1117,鉢,None,Bowl,はち
1118,咲,さ,Blossom,しょう
1119,殴,なぐ,Assault,おう
1120,脇,わき,Armpit,きょう
1121,蓄,たくわ,Amass,ちく
1122,遂,と  つい,Accomplish,すい
1123,柳,やなぎ,Willow,りゅう
1124,芯,None,Wick,しん
1125,巾,None,Towel,きん
1126,胴,None,Torso,どう
1127,畳,たたみ,Tatami Mat,じょう
1128,粘,ねば,Sticky,ねん
1129,砕,くだ,Smash,さい
1130,尺,None,Shaku,しゃく
1131,憩,いこ,Rest,けい
1132,爽,さわ,Refreshing,そう
1133,虹,にじ,Rainbow,こう
1134,哀,あわ,Pathetic,あい
1135,婆,ばあ,Old Woman,ば
1136,掌,てのひら,Manipulate,しょう
1137,唇,くちびる,Lips,しん
1138,如,ごと,Likeness,じょ
1139,詐,いつわ,Lie,さ
1140,伊,だ,Italy,い
1141,挿,さ,Insert,そう
1142,佐,None,Help,さ
1143,憎,にく,Hate,ぞう
1144,帽,None,Hat,ぼう
1145,恨,うら,Grudge,こん
1146,扉,とびら,Front Door,ひ
1147,扇,おうぎ  あお,Folding Fan,せん
1148,霧,きり,Fog,む
1149,塀,None,Fence,へい
1150,滴,したた  しずく,Drip,てき
1151,欺,あざむ,Deceit,ぎ
1152,墜,None,Crash,つい
1153,粧,None,Cosmetics,しょう
1154,炊,た,Cook,すい
1155,崖,がけ,Cliff,がい
1156,瞭,None,Clear,りょう
1157,箸,はし,Chopsticks,ちゃく
1158,幣,None,Cash,へい
1159,零,こぼ,Zero,れい
1160,歳,None,Years Old,さい  せい
1161,阻,はば,Thwart,そ
1162,錬,ね,Tempering,れん
1163,租,None,Tariff,そ
1164,帝,みかど,Sovereign,てい
1165,斬,き,Slice,ざん
1166,黙,だま,Shut Up,もく
1167,架,か,Shelf,か
1168,幽,None,Secluded,ゆう
1169,俵,たわら,Sack,ひょう
1170,寧,むし,Rather,ねい
1171,瞳,ひとみ,Pupil,とう  どう
1172,誇,ほこ,Pride,こ
1173,棟,None,Pillar,とう
1174,猿,さる,Monkey,えん
1175,庄,None,Manor,しょう
1176,盆,None,Lantern Festival,ぼん
1177,鍵,かぎ,Key,けん
1178,吾,わが,I,ご
1179,穂,ほ,Head of Plant,すい
1180,癖,くせ,Habit,へき
1181,碁,None,Go,ご
1182,鍛,きた,Forge,たん
1183,鈍,にぶ  のろ,Dull,どん
1184,鳩,はと,Dove,く
1185,寮,None,Dormitory,りょう
1186,魔,None,Devil,ま
1187,綿,わた,Cotton,めん
1188,涼,すず,Cool,りょう
1189,菊,None,Chrysanthemum,きく
1190,椅,None,Chair,い
1191,孔,あな,Cavity,こう
1192,穏,おだ,Calm,おん
1193,泡,あわ,Bubbles,ほう
1194,瞬,またた,Blink,しゅん
1195,墨,すみ,Black Ink,None
1196,井,い,Well,しょう
1197,滝,たき,Waterfall,None
1198,凶,None,Villain,きょう
1199,卓,None,Table,たく
1200,硬,かた,Stiff,こう
1201,眺,なが,Stare,ちょう
1202,矛,ほこ,Spear,む
1203,魂,たましい,Soul,こん
1204,肌,はだ,Skin,き
1205,陰,かげ,Shade,いん
1206,磨,みが,Polish,ま
1207,裸,はだか,Naked,ら
1208,嬢,むすめ,Miss,じょう
1209,狂,くる,Lunatic,きょう
1210,塊,かたまり,Lump,かい
1211,澄,す,Lucidity,ちょう
1212,脚,あし,Leg,きゃく
1213,狩,か,Hunt,しゅ
1214,溝,みぞ,Gutter,こう
1215,霊,None,Ghost,れい  りょう
1216,賭,か,Gamble,None
1217,翔,かけ  と,Fly,しょう
1218,疲,つか,Exhausted,ひ
1219,稼,かせ,Earnings,か
1220,湿,しめ,Damp,しつ
1221,呪,のろ,Curse,じゅ
1222,塾,None,Cram School,じゅく
1223,也,なり,Considerably,や
1224,曇,くも,Cloudy,None
1225,暦,こよみ,Calendar,れき
1226,嫁,よめ  とつ,Bride,か
1227,舟,ふね  ふな,Boat,しゅう
1228,鐘,かね,Bell,しょう
1229,菌,None,Bacteria,きん
1230,頃,ころ  ごろ,Approximate,None
1231,翼,つばさ,Wing,よく
1232,朱,あけ,Vermillion,しゅ
1233,塔,None,Tower,とう
1234,雷,かみなり,Thunder,らい
1235,涙,なみだ,Teardrop,るい
1236,嵐,あらし,Storm,None
1237,芽,め,Sprout,が
1238,辛,から  つら,Spicy,しん
1239,匹,ひき,Small Animal,None
1240,叫,さけ,Shout,きょう
1241,棚,たな,Shelf,ほう
1242,叱,しか,Scold,None
1243,侍,さむらい,Samurai,None
1244,謎,なぞ,Riddle,None
1245,娯,None,Recreation,ご
1246,挨,None,Push Open,あい
1247,姫,ひめ,Princess,None
1248,梨,なし,Pear,None
1249,桃,もも,Peach,とう
1250,寸,None,Measurement,すん
1251,斗,None,Ladle,と
1252,俺,おれ,I,None
1253,丘,おか,Hill,きゅう
1254,髪,かみ,Hair,はつ
1255,粒,つぶ,Grains,りゅう
1256,吉,よし,Good Luck,きつ  きち
1257,釣,つ,Fishing,ちょう
1258,忍,しの,Endure,にん
1259,縁,ふち,Edge,えん  ねん
1260,拶,None,Draw Close,さつ
1261,竜,たつ,Dragon,りゅう
1262,笠,かさ,Conical Hat,None
1263,砲,None,Cannon,ほう
1264,缶,None,Can,かん
1265,刃,は,Blade,じん  にん
1266,誰,だれ,Who,None
1267,貢,みつ,Tribute,こう
1268,潮,しお,Tide,ちょう
1269,裂,さ,Split,れつ
1270,撲,None,Slap,ぼく
1271,沈,しず,Sink,ちん
1272,斉,None,Simultaneous,せい  さい
1273,封,None,Seal,ふう  ほう
1274,珍,めずら,Rare,ちん
1275,刷,す,Printing,さつ
1276,旨,うま  むね,Point,し
1277,岳,たけ,Peak,がく
1278,泰,None,Peace,たい
1279,牧,まき,Pasture,ぼく
1280,滋,None,Nourishing,じ
1281,威,None,Majesty,い
1282,即,すなわ,Instant,そく
1283,垣,かき,Hedge,None
1284,琴,こと,Harp,None
1285,擦,こす  す,Grate,さつ
1286,趣,おもむき,Gist,しゅ
1287,柔,やわ,Gentle,じゅう  にゅう
1288,炉,いろり,Furnace,ろ
1289,露,つゆ,Expose,ろ  ろう
1290,籍,None,Enroll,せき
1291,距,None,Distance,きょ
1292,滅,ほろ,Destroy,めつ
1293,筒,つつ,Cylinder,とう
1294,懇,None,Courteous,こん
1295,慰,なぐさ,Consolation,い
1296,懲,こ,Chastise,ちょう
1297,摩,さす,Chafe,ま
1298,朗,ほが,Bright,ろう
1299,沼,ぬま,Bog,しょう
1300,襲,おそ,Attack,しゅう
1301,荒,あ  あら,Wild,こう
1302,糾,None,Twist,きゅう
1303,暫,しばら,Temporarily,ざん
1304,堅,かた,Solid,けん
1305,滑,すべ  なめ,Slippery,かつ
1306,揺,ゆ,Shake,よう
1307,袋,ふくろ,Sack,たい
1308,斎,いつ,Purification,さい
1309,哲,None,Philosophy,てつ
1310,柄,がら,Pattern,へい
1311,双,ふた,Pair,そう
1312,泊,と,Overnight,はく
1313,克,None,Overcome,こく
1314,網,あみ,Netting,もう
1315,喪,も,Mourning,そう
1316,肝,きも,Liver,かん
1317,芝,しば,Lawn,し
1318,潟,かた,Lagoon,せき
1319,揚,あ,Hoist,よう
1320,枢,からくり,Hinge,すう
1321,握,にぎ,Grip,あく
1322,床,ゆか  とこ,Floor,しょう
1323,括,くく,Fasten,かつ
1324,範,None,Example,はん
1325,紛,まぎ  まぐ,Distract,ふん
1326,掘,ほ,Dig,くつ
1327,焦,こ  あせ,Char,しょう
1328,挑,いど,Challenge,ちょう
1329,綱,つな,Cable,こう
1330,軸,None,Axis,じく
1331,到,None,Arrival,とう
1332,弧,None,Arc,こ
1333,析,None,Analysis,せき
1334,包,つつ  くる,Wrap,ほう
1335,樹,き,Wood,じゅ
1336,撤,None,Withdrawal,てつ
1337,艦,None,Warship,かん
1338,虎,とら,Tiger,こ
1339,誠,まこと,Sincerity,せい
1340,措,None,Set Aside,そ
1341,酎,かも,Sake,ちゅう  ちゅ
1342,墟,None,Ruins,きょ
1343,瀬,せ,Rapids,らい
1344,徹,None,Penetrate,てつ
1345,伺,うかが,Pay Respects,し
1346,鉱,あらがね,Mineral,こう
1347,嘘,うそ,Lie,None
1348,侵,おか,Invade,しん
1349,遜,したが,Humble,そん
1350,仁,None,Humanity,じん
1351,蜜,None,Honey,みつ
1352,郷,None,Hometown,きょう
1353,拳,こぶし,Fist,けん  げん
1354,蛍,ほたる,Firefly,けい
1355,畑,はたけ  はた,Field,None
1356,偽,にせ  いつわ,Fake,ぎ
1357,潜,くぐ  ひそ  もぐ,Conceal,せん
1358,衣,ころも  きぬ,Clothes,い  え
1359,炭,すみ,Charcoal,たん
1360,儀,None,Ceremony,ぎ
1361,蜂,はち,Bee,ほう
1362,拠,よ,Based On,きょ
1363,至,いた,Attain,し
1364,凄,すご,Amazing,せい
1365,棄,None,Abandon,き
1366,寡,None,Widow,か
1367,湧,わ,Well,ゆう  ゆ  よう
1368,渓,たに  たにがわ,Valley,けい
1369,醜,しこ  みにく,Ugly,しゅう
1370,拷,None,Torture,ごう
1371,倹,つづまやか  つま,Thrifty,けん
1372,畔,あぜ  くろ  ほとり,Shore,はん
1373,唄,うた,Shamisen Song,ばい
1374,泌,None,Secrete,ひ  ひつ
1375,藻,も,Seaweed,そう
1376,妄,みだ,Reckless,もう  ぼう
1377,罷,や,Quit,ひ
1378,坑,None,Pit,こう
1379,殉,None,Martyr,じゅん
1380,桟,かけはし,Jetty,さん  せん
1381,藍,あい,Indigo,らん
1382,謹,つつし,Humble,きん
1383,匿,かくま,Hide,とく
1384,婿,むこ,Groom,せい
1385,升,ます,Grid,しょう
1386,漸,ようや  やや,Gradually,ぜん
1387,狐,きつね,Fox,こ
1388,逝,い  ゆ,Die,せい
1389,痢,None,Diarrhea,り
1390,囚,とら,Criminal,しゅう
1391,矯,た,Correct,きょう
1392,某,それがし  なにがし,Certain,ぼう
