,character,kun,meaning,on
1393,劾,None,Censure,がい
1394,廉,None,Bargain,れん
1395,蛮,えびす,Barbarian,ばん
1396,煩,うるさ  わずら,Annoy,はん  ぼん
1397,崇,あが,Worship,すう
1398,梓,あずさ,Wood Block,し
1399,浪,None,Wander,ろう
1400,甚,はなは,Very,じん
1401,叔,None,Uncle,しゅく
1402,遷,うつ  みやこがえ,Transition,せん
1403,紡,つむ,Spinning,ぼう
1404,汰,おご  にご  よな,Select,た  たい
1405,蔑,さげす,Scorn,べつ
1406,沙,すな  よなげる,Sand,さ  しゃ
1407,峠,とうげ,Ridge,None
1408,礁,None,Reef,しょう
1409,吟,None,Recital,ぎん
1410,曹,つかさ  ともがら  へや,Official,そう  ぞう
1411,忌,い,Mourning,き
1412,姻,None,Marry,いん
1413,卑,いや,Lowly,ひ
1414,憧,あこが,Long For,しょう  とう  どう
1415,閑,None,Leisure,かん
1416,漆,うるし,Lacquer,しつ
1417,擬,まが  もど,Imitate,ぎ
1418,胆,きも,Guts,たん
1419,睦,むつ,Friendly,ぼく  もく
1420,雌,めす  め  めん,Female,し
1421,禍,わざわい,Evil,か
1422,堪,た  こた  こ,Endure,かん  たん
1423,侮,あなず  あなど,Despise,ぶ
1424,篤,あつ,Deliberate,とく
1425,酪,None,Dairy,らく
1426,慶,よろこ,Congratulate,けい
1427,詠,よ  うた,Compose,えい
1428,拙,つたな,Clumsy,せつ
1429,鋳,い,Cast,ちゅう
1430,岬,みさき,Cape,こう
1431,屯,None,Barracks,とん
1432,亜,つ,Asia,あ
1433,硫,None,Sulfur,りゅう
1434,窃,ぬす  ひそ,Steal,せつ
1435,絹,きぬ,Silk,けん
1436,慨,None,Sigh,がい
1437,酌,く,Serve,しゃく
1438,菅,すげ,Sedge,かん  けん
1439,帆,ほ,Sail,はん
1440,奔,はし,Run,ほん
1441,朽,く,Rot,きゅう
1442,漣,さざなみ,Ripples,れん  らん
1443,憤,いきどお,Resent,ふん
1444,肖,あやか,Resemblance,しょう
1445,嘱,しょく  たの,Request,しょく
1446,享,う,Receive,きょう  こう
1447,戯,ざ  じゃ  たわむ,Play,ぎ  げ
1448,赦,None,Pardon,しゃ
1449,椎,う  つち,Oak,つい  すい
1450,濁,にご,Muddy,だく  じょく
1451,媒,なこうど,Mediator,ばい
1452,錠,None,Lock,じょう
1453,殻,から  がら,Husk,かく  こく  ばい
1454,傑,すぐ,Greatness,けつ
1455,淑,しと,Graceful,しゅく
1456,璃,None,Glassy,り
1457,譜,None,Genealogy,ふ
1458,藩,None,Fiefdom,はん
1459,凌,しの,Endure,りょう
1460,剖,None,Divide,ぼう
1461,暁,あかつき  さと,Dawn,きょう  ぎょう
1462,瑞,みず  しるし,Congratulations,すい  ずい
1463,鶏,とり  にわとり,Chicken,けい
1464,迭,None,Alternate,てつ
1465,扶,たす,Aid,ふ
1466,陪,None,Accompany,ばい
1467,胎,None,Womb,たい
1468,遍,あまね,Universal,へん
1469,坪,つぼ,Two Mat Area,へい
1470,槽,ふね,Tank,そう
1471,萌,きざ  めばえ  も,Sprout,ほう
1472,羅,うすもの,Spread Out,ら
1473,喝,None,Scold,かつ
1474,俸,None,Salary,ほう
1475,旋,None,Rotation,せん
1476,賊,None,Robber,ぞく
1477,峡,はざま,Ravine,きょう  こう
1478,哉,や  かな,Question Mark,さい
1479,漬,つ,Pickle,し
1480,蒼,あお,Pale,そう
1481,紺,None,Navy,こん
1482,膜,None,Membrane,まく
1483,楓,かえで,Maple,ふう
1484,乙,おと  きのと,Latter,おつ  いつ
1485,瑠,None,Lapis Lazuli,る  りゅう
1486,腸,はらわた,Intestines,ちょう
1487,遮,さえぎ,Intercept,しゃ
1488,閲,けみ,Inspection,えつ
1489,酵,None,Fermentation,こう
1490,伐,う  き  そむ,Fell,ばつ
1491,衡,None,Equilibrium,こう
1492,鼓,つづみ,Drum,こ
1493,堕,お  くず,Degenerate,だ
1494,敢,あ,Daring,かん
1495,烏,からす,Crow,うお
1496,凸,でこ,Convex,とつ
1497,弔,とぶら  とむら,Condolence,ちょう
1498,凹,くぼ  へこ  ぼこ,Concave,おう
1499,醸,かも,Brew,じょう
1500,盲,めくら,Blind,もう
1501,款,None,Article,かん
1502,智,None,Wisdom,ち
1503,碑,いしぶみ,Tombstone,ひ
1504,窒,None,Suffocate,ちつ
1505,猶,なお,Still,ゆう  ゆ
1506,搾,しぼ,Squeeze,さく
1507,舶,None,Ship,はく
1508,縫,ぬ,Sew,ほう
1509,恭,うやうや,Respect,きょう
1510,靖,やす,Peaceful,じょう  せい
1511,尉,None,Military Officer,い  じょう
1512,凡,おうよ  およ  すべ,Mediocre,ぼん  はん
1513,陵,みささぎ,Mausoleum,りょう
1514,宰,None,Manager,さい
1515,寂,さび  さみ,Lonely,じゃく  せき
1516,摂,おさ  かね  と,In Addition,せつ  しょう
1517,穀,None,Grain,こく
1518,呉,くれ  く,Give,ご
1519,紳,None,Gentleman,しん
1520,洪,None,Flood,こう
1521,遥,はる,Far Off,よう
1522,弊,None,Evil,へい
1523,嘉,よい  よみ,Esteem,か
1524,窮,きわ,Destitute,きゅう  きょう
1525,悦,よろこ,Delight,えつ
1526,轄,くさび,Control,かつ
1527,錯,None,Confused,さく  しゃく
1528,庸,None,Common,よう
1529,凛,きびし,Cold,りん
1530,弦,つる,Chord,げん
1531,蝶,None,Butterfly,ちょう
1532,柴,しば,Brushwood,さい  し
1533,飽,あ,Bored,ほう
1534,縛,しば,Bind,ばく
1535,拍,None,Beat,はく  ひょう
1536,匠,たくみ,Artisan,しょう
1537,那,いかん  なに  なんぞ,What,な  だ
1538,賓,None,VIP,ひん
1539,尿,None,Urine,にょう
1540,鎮,おさえ  しず,Tranquilize,ちん
1541,之,これ  の,This,し
1542,該,None,The Above,がい
1543,脊,せ  せい,Stature,せき
1544,朴,えのき  ほう  ほお,Simple,ぼく
1545,憾,うら,Remorse,かん
1546,昌,さかん,Prosperous,しょう
1547,赴,おもむ,Proceed,ふ
1548,愉,たの,Pleasant,ゆ
1549,傍,かたわ  わき  おか  はた  そば,Nearby,ぼう
1550,髄,None,Marrow,ずい
1551,弥,や,Increasing,び  み
1552,龍,たつ,Imperial,りゅう  りょう  ろう
1553,栃,とち,Horse Chestnut,None
1554,癒,い  いや,Healing,ゆ
1555,悼,いた,Grieve,とう
1556,憂,う  うれ,Grief,ゆう
1557,惜,お,Frugal,せき
1558,佳,None,Excellent,か
1559,抹,None,Erase,まつ
1560,郭,くるわ,Enclosure,かく
1561,遼,None,Distant,りょう
1562,奉,たてまつ  まつ  ほう,Dedicate,ほう  ぶ
1563,旦,あきら  あき  あさ  あした  ただし,Dawn,たん  だん
1564,瑛,None,Crystal,えい
1565,栓,None,Cork,せん
1566,凝,こ  こご,Congeal,ぎょう
1567,粗,あら,Coarse,そ
1568,循,None,Circulation,じゅん
1569,虜,とりく  とりこ,Captive,りょ  ろ
1570,伏,ふ,Bow,ふく
1571,累,None,Accumulate,るい
1572,卸,おろし  おろ,Wholesale,しゃ
1573,鯨,くじら,Whale,げい
1574,荘,あごそ  ほうき,Villa,そう  しょう  ちゃん
1575,痴,おろか  し,Stupid,ち
1576,茎,くき,Stem,きょう  けい
1577,粛,つつし,Solemn,しゅく  すく
1578,鎌,かま,Sickle,けん  れん
1579,呆,あき  おろか  ほけ  ぼ,Shock,ほう
1580,酬,むく,Repay,しゅう  しゅ  とう
1581,茜,あかね,Red Dye,せん
1582,疾,はや,Rapidly,しつ
1583,傲,あなど  おご,Proud,ごう
1584,呈,None,Present,てい
1585,践,ふ,Practice,せん
1586,栽,None,Planting,さい
1587,哺,ほぐく  ふく,Nurse,ほ
1588,謡,うた,Noh Chanting,よう
1589,疎,うと  まば,Neglect,そ  しょ
1590,勲,いさお,Merit,くん
1591,悠,None,Leisure,ゆう
1592,拐,None,Kidnap,かい
1593,尚,なお,Furthermore,しょう
1594,愚,おろ,Foolish,ぐ
1595,阿,おもね  くま,Flatter,あ  お
1596,紋,None,Family Crest,もん
1597,逸,そ  はぐ,Deviate,いつ
1598,叙,つい  ついで,Describe,じょ
1599,酷,ひど,Cruel,こく
1600,冠,かんむり,Crown,かん
1601,欄,てすり,Column,らん
1602,栞,しおり,Bookmark,かん
1603,杏,あんず,Apricot,あん  きょう  こう
1604,顕,あきらか  あらわ,Appear,けん
1605,且,か,Also,しょ  しょう  そ
1606,庶,None,All,しょ
1607,寛,くつろ,Tolerance,かん
1608,剰,あまつさえ  あま,Surplus,じょう
1609,駿,すぐ,Speed,しゅん  すん
1610,壌,つち,Soil,じょう
1611,舗,None,Shop,ほ
1612,准,None,Semi,じゅん
1613,緋,あか  あけ,Scarlet,ひ
1614,丹,に,Rust Colored,たん
1615,艇,None,Rowboat,てい
1616,戴,いただ,Receive,たい
1617,虐,しいた,Oppress,ぎゃく
1618,瓜,うり,Melon,か  け
1619,緯,ぬき  よこいと,Latitude,い
1620,莉,None,Jasmine,り  れい  らい
1621,据,す,Install,きょ
1622,騰,あが  のぼ,Inflation,とう
1623,葵,あおい,Hollyhock,き
1624,徐,おもむ,Gently,じょ
1625,繊,None,Fiber,せん
1626,披,None,Expose,ひ
1627,啓,さと  ひら,Enlighten,けい
1628,稿,したがき  わら,Draft,こう
1629,惨,みじ  いた  むご,Disaster,さん  ざん
1630,曙,あけぼの,Dawn,しょ
1631,蒙,おお  くら  こうむ,Darkness,もう  ぼう
1632,諒,あきら  まことに,Comprehend,りょう
1633,帥,None,Commander,すい
1634,浄,きよ,Cleanse,じょう  せい
1635,胞,None,Cell,ほう
1636,鯉,こい,Carp,り
1637,錦,にしき,Brocade,きん
1638,搭,None,Board,とう
1639,胡,なんぞ,Barbarian,こ  う  ご
1640,随,したが  まにま,All,ずい
1641,諭,さと,Admonish,ゆ
1642,遇,あ,Treatment,ぐう
1643,膨,ふく,Swell,ぼう
1644,慢,None,Ridicule,まん
1645,颯,さっ,Quick,さつ  そう
1646,糧,かて,Provisions,りょう  ろう
1647,貫,つらぬ  ぬき  ぬ,Pierce,かん
1648,芳,かんば,Perfume,ほう
1649,孤,None,Orphan,こ
1650,秩,None,Order,ちつ
1651,牲,None,Offering,せい
1652,須,すべから  すべし  ひげ  まつ  もち  もと,Necessary,す  しゅ
1653,覇,はたがしら,Leadership,は  はく
1654,怠,おこた  なま,Lazy,たい
1655,惰,None,Lazy,だ
1656,唆,そそのか  そそ,Instigate,さ
1657,猟,かり  か,Hunting,りょう  れふ
1658,輔,たす,Help,ふ  ほ
1659,乃,すなわ  なんじ  の,From,ない
1660,隼,はやぶさ,Falcon,しゅん  じゅん
1661,陳,ひ,Exhibit,ちん
1662,倫,None,Ethics,りん
1663,殊,こと,Especially,しゅ
1664,噴,ふ,Erupt,ふん
1665,遭,あ,Encounter,そう
1666,擁,None,Embrace,よう
1667,没,おぼ  しず  ない,Die,ぼつ  もつ
1668,綾,あや,Design,りん
1669,恒,つね  つねに,Constant,こう
1670,賠,None,Compensation,ばい
1671,鎖,くさり  とざ,Chain,さ
1672,陥,おちい  おとしい,Cave In,かん
1673,茨,いばら,Briar,し  じ
1674,偏,かたよ,Biased,へん
1675,呂,せぼね,Bath,ろ  りょ
1676,祥,きざ  さいわ  つまび  よ,Auspicious,しょう
1677,枯,か,Wither,こ
1678,聡,さと  みみざと,Wise,そう
1679,渦,うず,Whirlpool,か
1680,濯,すす  ゆす  そそぐ,Wash,たく
1681,頂,いただき  いただ,Summit,ちょう
1682,郊,None,Suburbs,こう
1683,軟,やわ,Soft,なん
1684,膚,はだ,Skin,ふ
1685,隻,None,Ship Counter,せき
1686,苗,なえ  なわ,Seedling,みょう  びょう
1687,喚,わめ,Scream,かん
1688,邸,やしき,Residence,てい
1689,媛,ひめ,Princess,えん
1690,耕,たがや,Plow,こう
1691,肪,None,Obese,ぼう
1692,玄,くろ,Mysterious,げん
1693,塚,つか,Mound,ちょう
1694,慈,いつく,Mercy,じ
1695,蓮,はす  はちす,Lotus,れん
1696,軒,のき,House Counter,けん
1697,偉,えら,Greatness,い
1698,脂,あぶら,Fat,し
1699,釈,す  とく  ゆる,Explanation,しゃく  せき
1700,燥,はしゃ,Dry Up,そう
1701,郡,こおり,County,ぐん
1702,隅,すみ,Corner,ぐう
1703,襟,えり,Collar,きん
1704,亮,あきらか,Clear,りょう
1705,貞,さだ,Chastity,てい
1706,召,め,Call,しょう
1707,瓶,かめ,Bottle,びん
1708,沸,わ,Boil,ふつ
1709,挟,はさ,Between,きょう  しょう
1710,浦,うら,Bay,ほ
1711,肯,がえんじ,Agreement,こう
1712,歌,うた,Song,か
1713,横,よこ,Side,おう
1714,病,や  やまい,Sick,びょう
1715,路,じ  みち,Road,ろ
1716,転,ころ,Revolve,てん
1717,求,もと,Request,きゅう
1718,読,よ,Read,とう  どく
1719,親,おや  した,Parent,しん
1720,開,あ  ひら,Open,かい
1721,最,もっと,Most,さい
1722,線,None,Line,せん
1723,軽,かる  かろ,Lightweight,けい
1724,習,なら,Learn,しゅう
1725,葉,は  ば,Leaf,よう
1726,語,かた,Language,ご
1727,鉄,None,Iron,てつ
1728,調,しら,Investigate,ちょう
1729,院,None,Institution,いん
1730,聞,き,Hear,ぶん  もん
1731,頭,あたま,Head,ず  とう
1732,速,はや,Fast,そく
1733,農,None,Farming,のう
1734,落,お,Fall,らく
1735,顔,かお,Face,がん
1736,終,おわ  お,End,しゅう
1737,飲,の,Drink,いん
1738,配,くば,Distribute,はい
1739,集,あつ,Collect,しゅう
1740,鳴,な,Chirp,めい
1741,漢,None,Chinese,かん
1742,運,はこ,Carry,うん
1743,算,そろ,Calculate,さん
1744,業,None,Business,ぎょう
1745,始,はじ,Begin,し
1746,酒,さけ  さか,Alcohol,しゅ
1747,進,すす,Advance,しん
1748,界,None,World,かい
1749,勝,か,Win,しょう
1750,使,つか,Use,し
1751,試,こころ  ため,Try,し
1752,実,み,Truth,じつ
1753,具,None,Tool,ぐ
1754,物,もの,Thing,ぶつ  もつ
1755,験,ため  ためし,Test,けん
1756,仮,かり,Temporary,か
1757,泳,およ,Swim,えい
1758,苦,くる  にが,Suffering,く
1759,送,おく,Send,そう
1760,売,う,Sell,ばい
1761,屋,や,Roof,おく
1762,乗,の,Ride,じょう
1763,返,かえ,Return,へん
1764,保,たも,Preserve,ほ
1765,県,None,Prefecture,けん
1766,和,なご  やわ,Peace,わ  お
1767,部,へ,Part,ぶ
1768,新,あたら  あら  にい,New,しん
1769,要,い  かなめ,Need,よう
1770,相,あい,Mutual,そう  しょう
1771,負,ま  お,Lose,ふ
1772,持,も,Hold,じ
1773,重,おも  かさ  え,Heavy,じゅう  ちょう
1774,客,None,Guest,きゃく
1775,表,あらわ  おもて,Express,ひょう
1776,談,None,Discuss,だん
1777,定,さだ,Determine,てい  じょう
1778,発,None,Departure,はつ
1779,度,たび,Degrees,ど  たく
1780,服,None,Clothes,ふく
1781,予,あらかじ,Beforehand,よ
1782,美,うつく,Beauty,び  み
1783,事,こと  つか,Action,じ
1784,受,う,Accept,じゅ
1785,対,None,Versus,たい
1786,投,な,Throw,とう
1787,話,はな  はなし,Talk,わ
1788,支,ささ,Support,し
1789,者,もの,Someone,しゃ
1790,身,み,Somebody,しん
1791,研,と,Sharpen,けん
1792,役,None,Service,やく
1793,道,みち,Road,どう
1794,究,きわ,Research,きゅう
1795,池,いけ,Pond,ち
1796,所,ところ,Place,しょ
1797,番,None,Number In A Series,ばん
1798,朝,あさ,Morning,ちょう
1799,医,None,Medicine,い
1800,場,ば,Location,じょう
1801,間,あいだ  ま,Interval,かん  けん
1802,馬,うま,Horse,ば
1803,助,たす  すけ,Help,じょ
1804,森,もり,Forest,しん
1805,電,None,Electricity,でん
1806,住,す,Dwelling,じゅう
1807,絵,None,Drawing,え
1808,決,き,Decide,けつ
1809,数,かぞ  かず,Count,すう
1810,楽,たの,Comfort,らく  がく
1811,雲,くも,Cloud,うん
1812,買,か,Buy,ばい
1813,局,None,Bureau,きょく
1814,君,きみ,Buddy,くん
1815,反,None,Anti,はん
1816,答,こた,Answer,とう
1817,黄,き,Yellow,おう
1818,記,しる,Write Down,き
1819,風,かぜ,Wind,ふう  ふ
1820,週,None,Week,しゅう
1821,弱,よわ,Weak,じゃく
1822,時,とき,Time,じ
1823,教,おし  おそ,Teach,きょう
1824,高,たか,Tall,こう
1825,夏,なつ,Summer,げ  か  が
1826,強,つよ,Strong,きょう
1827,雪,ゆき,Snow,せつ
1828,校,None,School,こう
1829,由,よし  よ,Reason,ゆう
1830,理,ことわり,Reason,り
1831,民,たみ,Peoples,みん
1832,通,とお  かよ,Pass Through,つう
1833,紙,かみ,Paper,し
1834,未,ま  いま  ひつじ,Not Yet,み
1835,欠,か,Lack,けつ
1836,家,いえ  や  うち,House,か  け
1837,組,くみ,Group,そ
1838,以,None,From,い
1839,魚,さかな,Fish,ぎょ
1840,失,うしな,Fault,しつ
1841,氏,うじ,Family Name,し
1842,末,すえ,End,まつ
1843,必,かなら,Certain,ひつ
1844,船,ふね,Boat,せん
1845,黒,くろ,Black,こく
1846,鳥,とり,Bird,ちょう
1847,札,ふだ,Bill,さつ
1848,付,つ,Attach,ふ
1849,辺,あた  べ,Area,へん
1850,妹,いもうと,Younger Sister,まい
1851,向,む,Yonder,こう
1852,歩,ある  あゆ,Walk,ほ
1853,思,おも,Think,し
1854,茶,None,Tea,ちゃ  さ
1855,州,None,State,しゅう
1856,星,ほし,Star,せい
1857,南,みなみ,South,なん
1858,店,みせ,Shop,てん
1859,羊,ひつじ,Sheep,よう
1860,海,うみ,Sea,かい
1861,室,None,Room,しつ
1862,安,やす,Relax,あん
1863,点,つ,Point,てん
1864,姉,お  あね  ねえ,Older Sister,し
1865,夜,よ  よる,Night,や
1866,次,つぎ,Next,じ
1867,首,くび,Neck,しゅ
1868,曲,ま,Music,きょく
1869,長,なが,Long,ちょう
1870,活,い,Lively,かつ
1871,知,し,Know,ち
1872,私,わたし,I,し
1873,有,あ,Have,ゆう  う
1874,前,まえ,Front,ぜん
1875,直,なお,Fix,ちょく  じき
1876,食,た  く,Eat,しょく
1877,東,ひがし,East,とう
1878,地,None,Earth,ち  じ
1879,画,None,Drawing,が  かく
1880,死,し,Death,し
1881,亡,な,Death,ぼう
1882,科,None,Course,か
1883,国,くに,Country,こく
1884,化,ば,Change,か
1885,京,みやこ,Capital,きょう
1886,明,あ  あか  あき,Bright,めい
1887,両,None,Both,りょう
1888,血,ち,Blood,けつ
1889,後,うし  あと  のち,Behind,ご  こう
1890,全,すべ  まった,All,ぜん
1891,弟,おとうと,Younger Brother,だい  で  てい
1892,麦,むぎ,Wheat,ばく
1893,何,なに  なん,What,か
1894,西,にし,West,せい  さい
1895,声,こえ,Voice,せい
1896,谷,たに,Valley,こく
1897,回,まわ,Times,かい
1898,考,かんが,Think,こう
1899,光,ひかり  ひか,Sunlight,こう
1900,学,まな,Study,がく
1901,音,おと  ね,Sound,おん
1902,空,そら  あ  から  す,Sky,くう
1903,皮,かわ,Skin,ひ
1904,形,かた  かたち,Shape,けい  ぎょう
1905,自,None,Self,じ  し
1906,言,い  こと,Say,げん  ごん
1907,同,おな,Same,どう
1908,走,はし,Run,そう
1909,米,こめ,Rice,べい  まい
1910,雨,あめ  あま,Rain,う
1911,兄,あに,Older Brother,きょう
1912,近,ちか,Near,きん  こん
1913,交,まじ  ま  か,Mix,こう
1914,会,あ,Meet,かい
1915,肉,None,Meat,にく
1916,多,おお,Many,た
1917,作,つく,Make,さく  さ
1918,里,さと,Home Village,り
1919,草,くさ,Grass,そう
1920,金,かね,Gold,きん
1921,行,い  おこな  ゆ,Go,こう  ぎょう
1922,林,はやし,Forest,りん
1923,羽,はね  は  わ,Feather,う
1924,毎,ごと,Every,まい
1925,図,え  はか,Diagram,ず  と
1926,当,あ,Correct,とう
1927,社,やしろ,Company,しゃ
1928,来,く,Come,らい
1929,色,いろ,Color,しき  しょく
1930,体,からだ,Body,たい
1931,青,あお,Blue,せい  しょう
1932,斤,None,Axe,きん
1933,角,かど  つの,Angle,かく
1934,年,とし,Year,ねん
1935,世,よ,World,せ  せい
1936,村,むら,Village,そん
1937,宝,たから,Treasure,ほう
1938,町,まち,Town,ちょう
1939,糸,いと,Thread,し
1940,礼,None,Thanks,れい
1941,代,か  かわ  しろ,Substitute,だい
1942,石,いし,Stone,せき
1943,貝,かい,Shellfish,None
1944,見,み,See,けん
1945,申,もう,Say Humbly,しん
1946,休,やす,Rest,きゅう
1947,赤,あか,Red,せき
1948,先,さき  まず,Previous,せん
1949,皿,さら,Plate,None
1950,去,さ,Past,きょ  こ
1951,他,ほか,Other,た
1952,号,None,Number,ごう
1953,不,None,Not,ふ
1954,名,な,Name,めい  みょう
1955,主,おも  ぬし,Master,しゅ
1956,男,おとこ,Man,だん  なん
1957,字,None,Letter,じ
1958,虫,むし,Insect,ちゅう  き
1959,氷,こおり,Ice,ひょう
1960,百,もも,Hundred,ひゃく
1961,打,う  ぶ,Hit,だ
1962,足,あし  た,Foot,そく
1963,花,はな,Flower,か  け
1964,平,たいら  ひら,Flat,へい  ひょう  びょう
1965,気,いき,Energy,き  け
1966,早,はや  さ,Early,そう
1967,耳,みみ,Ear,じ
1968,仕,つか,Doing,し
1969,写,うつ,Copy,しゃ
1970,央,None,Center,おう
1971,車,くるま,Car,しゃ
1972,竹,たけ,Bamboo,None
1973,冬,ふゆ,Winter,とう
1974,広,ひろ,Wide,こう
1975,万,None,Ten Thousand,まん  ばん
1976,用,もち,Task,よう
1977,止,と  や,Stop,し
1978,引,ひ,Pull,いん
1979,公,None,Public,こう
1980,分,わ,Part,ぶん  ふん  ぶ
1981,外,そと  はず,Outside,がい
1982,元,もと,Origin,げん  がん
1983,古,ふる,Old,こ
1984,今,いま,Now,こん
1985,北,きた,North,ほく
1986,午,None,Noon,ご
1987,母,はは,Mother,ぼ
1988,台,None,Machine,だい  たい
1989,生,い  なま  う  は  き,Life,せい  しょう
1990,内,うち,Inside,ない
1991,心,こころ,Heart,しん
1992,半,なか,Half,はん
1993,毛,け,Fur,もう
1994,友,とも,Friend,ゆう
1995,少,すこ,Few,しょう
1996,父,ちち,Father,ふ
1997,太,ふと,Fat,たい  た
1998,戸,と,Door,こ
1999,方,かた,Direction,ほう
2000,切,き,Cut,せつ
2001,牛,うし,Cow,ぎゅう
2002,市,いち,City,し
2003,矢,や,Arrow,し
2004,円,まる,Yen,えん
2005,六,む,Six,ろく
2006,右,みぎ,Right,ゆう  う
2007,田,た,Rice Paddy,でん
2008,々,のま,Repeater,None
2009,月,つき,Moon,げつ  がつ
2010,中,なか,Middle,ちゅう
2011,左,ひだり,Left,さ
2012,王,None,King,おう
2013,天,あま,Heaven,てん
2014,手,て,Hand,しゅ  ず
2015,才,None,Genius,さい
2016,四,よん  よ,Four,し
2017,五,いつ,Five,ご
2018,火,ひ  ほ,Fire,か
2019,了,None,Finish,りょう
2020,目,め,Eye,もく
2021,出,で  だ,Exit,しゅつ
2022,夕,ゆう,Evening,せき
2023,犬,いぬ,Dog,けん
2024,土,つち,Dirt,ど  と
2025,正,ただ  まさ,Correct,せい  しょう
2026,丸,まる,Circle,がん
2027,子,こ,Child,し  す
2028,本,もと,Book,ほん
2029,玉,たま,Ball,ぎょく
2030,又,また,Again,None
2031,女,おんな  め,Woman,じょ
2032,二,ふた,Two,に
2033,三,み,Three,さん
2034,十,とお,Ten,じゅう
2035,七,なな  なの,Seven,しち
2036,川,かわ,River,せん
2037,力,ちから,Power,りょく  りき
2038,人,ひと  と,Person,にん  じん
2039,一,ひと,One,いち  いつ
2040,九,ここの,Nine,く  きゅう
2041,口,くち,Mouth,こう  く
2042,山,やま,Mountain,さん
2043,入,はい  い,Enter,にゅう
2044,八,や  よう,Eight,はち
2045,工,None,Construction,こう  く
2046,大,おお,Big,たい  だい
2047,下,した  さ  くだ  お,Below,か  げ
